id,intensity,area,quality
cell_001,85.0,307.6,0.66
cell_002,101.9,259.6,0.76
cell_003,84.6,250.2,0.66
cell_004,95.9,262.3,0.65
cell_005,84.0,232.1,0.7
cell_006,104.1,325.1,0.77
cell_007,103.1,194.0,0.98
cell_008,,174.6,0.91
cell_009,107.1,222.0,0.68
cell_010,161.5,200.7,0.79
cell_011,100.8,283.5,0.59
cell_012,157.0,300.4,0.63
cell_013,77.3,153.7,0.79
cell_014,153.1,309.2,0.97
cell_015,155.5,277.1,0.74
cell_016,96.4,244.9,0.75
cell_017,117.0,311.3,0.95
cell_018,112.9,255.5,0.76
cell_019,126.9,128.2,0.81
cell_020,129.6,216.8,0.67
cell_021,62.1,192.1,0.65
cell_022,114.4,286.1,0.86
cell_023,66.1,279.4,0.68
cell_024,142.8,273.9,0.59
cell_025,123.6,247.4,0.64
cell_026,90.1,227.5,0.66
cell_027,80.4,272.0,0.78
cell_028,160.0,261.1,0.94
cell_029,90.5,270.7,0.7
cell_030,88.9,225.5,0.75
cell_031,130.2,286.0,0.64
cell_032,113.9,229.0,0.73
cell_033,98.7,221.9,0.86
cell_034,142.5,284.9,0.68
cell_035,121.9,226.7,0.59
cell_036,80.9,188.6,0.79
cell_037,99.2,273.0,0.69
cell_038,98.4,299.3,0.6
cell_039,116.6,336.5,0.8
cell_040,193.5,192.4,0.81
cell_041,123.0,175.0,0.75
cell_042,101.3,164.7,0.82
cell_043,79.2,248.8,0.51
cell_044,120.5,311.5,0.81
cell_045,192.0,367.1,0.65
cell_046,49.2,284.9,0.98
cell_047,129.5,178.8,0.89
cell_048,127.9,241.9,0.63
cell_049,60.3,185.5,0.56
cell_050,,296.7,0.88
