id,intensity,area,quality
cell_001,270.4,245.1,0.59
cell_002,205.0,177.7,0.48
cell_003,80,237.1,0.46
cell_004,249.7,260.2,0.7
cell_005,194.3,211.0,0.48
cell_006,,276.9,0.47
cell_007,272.5,226.0,0.63
cell_008,245.0,155.7,0.64
cell_009,119.6,244.0,0.5
cell_010,174.6,241.2,0.52
cell_011,239.8,254.1,0.67
cell_012,145.0,190.6,0.78
cell_013,289.6,223.6,0.55
cell_014,221.5,236.3,0.71
cell_015,177.4,268.6,0.56
cell_016,231.1,215.7,0.62
cell_017,238.3,197.6,0.7
cell_018,96.1,184.4,0.65
cell_019,142.9,184.4,0.8
cell_020,320.7,133.3,0.49
cell_021,215.9,218.6,0.41
cell_022,258.4,248.1,0.49
cell_023,215.8,251.3,0.53
cell_024,287.9,228.8,0.54
cell_025,269.4,110,0.44
cell_026,180.8,223.1,0.34
cell_027,163.7,177.4,0.21
cell_028,221.9,215.2,0.32
cell_029,231.3,166.1,0.46
cell_030,132.9,241.7,0.3
cell_031,245.9,258.8,0.55
cell_032,203.7,218.0,0.4
cell_033,180.4,213.4,0.29
cell_034,153.5,119.9,0.41
cell_035,191.3,216.9,0.61
cell_036,133.6,174.0,0.34
cell_037,241.0,188.7,0.66
cell_038,118.4,222.6,0.6
cell_039,250.1,264.3,0.55
cell_040,205.3,204.2,0.63
cell_041,192.9,163.5,0.67
cell_042,177.4,218.4,0.52
cell_043,165.7,242.7,0.53
cell_044,220.1,115.1,0.78
cell_045,148.6,222.7,0.26
cell_046,130.2,222.2,0.46
cell_047,,152.1,0.38
cell_048,320.0,286.7,0.44
cell_049,247.3,289.7,0.5
cell_050,202.1,229.2,0.35
